Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	738468,500000	181,869049	0,35s	0,19s	20
N. Ejecución	Resultado
1	738514
2	737882
3	738551
4	738570
5	738517
6	738261
7	738523
8	738534
9	738059
10	738482
11	738498
12	738568
13	738485
14	738585
15	738541
16	738553
17	738547
18	738628
19	738529
20	738543

PAPI_L2_DCM	17308,550781	1029,570801	0,35s	0,20s	20
N. Ejecución	Resultado
1	17855
2	16788
3	16463
4	16112
5	16722
6	15381
7	16565
8	17219
9	16128
10	18052
11	18899
12	17346
13	17509
14	17861
15	19825
16	17410
17	17125
18	16791
19	17264
20	18856

