Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	793600,500000	873,722473	0,64s	0,26s	20
N. Ejecución	Resultado
1	793215
2	794910
3	795321
4	793686
5	793827
6	793067
7	792864
8	792655
9	792460
10	793365
11	792105
12	793683
13	794016
14	794464
15	793743
16	793353
17	792227
18	793983
19	794150
20	794916

PAPI_L2_DCM	298371,906250	2428,459229	0,64s	0,25s	20
N. Ejecución	Resultado
1	295895
2	294193
3	297960
4	297097
5	295825
6	293673
7	297452
8	300381
9	299435
10	301451
11	300949
12	300776
13	300698
14	301935
15	300177
16	299896
17	296083
18	298526
19	295835
20	299201

