Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	773271,500000	298,978333	0,51s	0,29s	20
N. Ejecución	Resultado
1	772664
2	773280
3	773260
4	773670
5	773615
6	773301
7	773379
8	772544
9	773257
10	773546
11	773082
12	773409
13	773211
14	773065
15	773364
16	773606
17	773513
18	773578
19	773195
20	772891

PAPI_L2_DCM	30687,400391	650,289062	0,52s	0,28s	20
N. Ejecución	Resultado
1	31055
2	30261
3	31201
4	32053
5	30911
6	30955
7	30446
8	30207
9	29900
10	30161
11	29994
12	30110
13	29735
14	30032
15	31706
16	30949
17	30928
18	31841
19	30819
20	30484

