3.0
63
189  357
168  357
150  357
128  357
109  357
96   343
83   331
83   308
83   281
83   257
83   224
96   210
109  197
132  197
157  197
190  197
190  215
190  242
190  263
190  277
177  277
164  277
263  198
263  227
263  258
263  278
263  309
263  335
263  358
289  358
313  358
344  358
356  344
369  330
369  317
369  303
360  289
344  279
325  279
305  279
285  279
468  358
456  349
441  332
443  304
441  275
443  254
441  225
456  206
468  197
482  197
495  197
509  210
524  224
525  254
524  275
525  304
524  332
509  345
495  358
482  358
228  192
370  192
