Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	501236384,000000	5371,671387	62,31s	0,35s	5
N. Ejecución	Resultado
1	501230221
2	501239771
3	501237422
4	501244086
5	501230517

PAPI_TOT_CYC	24579749888,000000	198808432,000000	62,44s	0,33s	5
N. Ejecución	Resultado
1	24926013489
2	24399128561
3	24642551795
4	24378739467
5	24552324517

PAPI_L2_DCM	499930432,000000	1322081,625000	61,78s	0,37s	5
N. Ejecución	Resultado
1	497289565
2	500514517
3	500554644
4	500711845
5	500581522

