Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	5742569,500000	1026,935181	2,17s	0,73s	20
N. Ejecución	Resultado
1	5743118
2	5743480
3	5743366
4	5741495
5	5743272
6	5742998
7	5740685
8	5743174
9	5743086
10	5743206
11	5743169
12	5743117
13	5743338
14	5741738
15	5741205
16	5743003
17	5743459
18	5740519
19	5740713
20	5743258

PAPI_L2_DCM	1597248,500000	1479,807861	2,17s	0,76s	20
N. Ejecución	Resultado
1	1599350
2	1599565
3	1596918
4	1597323
5	1601109
6	1596873
7	1598525
8	1597531
9	1596235
10	1595193
11	1596969
12	1597030
13	1595272
14	1598450
15	1597121
16	1596578
17	1595170
18	1596948
19	1596648
20	1596162

