Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	5996807,000000	1174,183960	2,02s	0,86s	20
N. Ejecución	Resultado
1	5995295
2	5997760
3	5997511
4	5995401
5	5997925
6	5997662
7	5995059
8	5995028
9	5997694
10	5997527
11	5995070
12	5995371
13	5997807
14	5997610
15	5997601
16	5997604
17	5997495
18	5997671
19	5995296
20	5997760

PAPI_L2_DCM	568836,500000	114,277512	2,02s	0,85s	20
N. Ejecución	Resultado
1	568897
2	568705
3	568878
4	568840
5	569018
6	568935
7	568932
8	568747
9	568938
10	568891
11	569062
12	568804
13	568733
14	568585
15	568753
16	568748
17	568882
18	568692
19	568816
20	568874

