Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	161434,593750	173,038544	1,32s	0,76s	20
N. Ejecución	Resultado
1	161610
2	161238
3	161308
4	161243
5	161623
6	161612
7	161516
8	161685
9	161458
10	161748
11	161354
12	161401
13	161362
14	161308
15	161267
16	161374
17	161244
18	161294
19	161757
20	161290

PAPI_L2_DCM	171328,500000	39,989372	1,31s	0,78s	20
N. Ejecución	Resultado
1	171355
2	171360
3	171293
4	171337
5	171282
6	171328
7	171236
8	171336
9	171391
10	171381
11	171300
12	171286
13	171314
14	171348
15	171311
16	171370
17	171351
18	171392
19	171305
20	171294

